Country,Type,k,b
LV,R,0.009588546969115302,-18.742071500868033
LT,F,-0.047710876337662224,96.60926625524691
LT,N,0.0,0.0
LT,R,0.04454990118560035,-89.31456356699886
LU,F,-0.08110309193846492,163.97638177188725
LU,N,0.0,0.0
LU,R,0.07647125007452481,-153.6903674163321
MX,F,-0.00833734999413662,17.597871355406134
MX,N,0.00036059307133817455,-0.6940436551956467
MX,R,0.005331649502589929,-10.581137690141105
NL,F,-0.021308546918113198,43.72631151353649
NL,N,-0.00029308899392272797,0.624524980267904
NL,R,0.02111330461619123,-42.387370934836554
NZ,F,-0.009263862912642362,18.877331636219907
NZ,N,0.0,0.0
NZ,R,0.00927726409596506,-17.90544299819389
NO,F,-0.0019346239750926437,3.9199442714303854
NO,N,0.0,0.0
NO,R,0.0017276789968396794,-2.5058442155995775
PL,F,-0.010037686661124349,21.09950187882964
PL,N,0.0,0.0
PL,R,0.009703268146943075,-19.427530466576158
PT,F,-0.007840368298605866,16.2722650352562
PT,N,0.0,0.0
PT,R,0.007935534529586733,-15.469547347374089
SK,F,-0.004136691623330368,8.560358501195891
SK,N,0.0012824871367076215,-2.033081046602854
SK,R,0.00267882913822108,-5.178134512252194
SI,F,-0.006168362067075573,12.754720550141032
SI,N,0.002552044746086229,-4.774849815775019
SI,R,0.0035865114138425042,-6.920311454452352
ES,F,-0.011006692357413767,22.603117252402065
ES,N,0.0007106364889095288,-1.223691961800057
ES,R,0.010140140559613603,-20.06858277653408
SE,F,-0.0023591333679712522,4.771804749816399
SE,N,-0.007816307200575261,16.135163469779492
SE,R,0.009970724991663352,-19.50311962341299
CH,F,-0.0006444980279402697,1.3105937513616086
CH,N,-0.004200436038366914,8.83814512216844
CH,R,0.00474811660529861,-8.97217190208218
TR,F,-0.014993654789571554,30.903528075681205
TR,N,0.0,0.0
TR,R,0.014634296615032455,-29.181458423097467
GB,F,-0.030982534979492805,63.00660455305115
GB,N,-0.002608248636318707,5.443164691235415
GB,R,0.03242447861580104,-65.10811569787508
US,F,-0.008521776737180591,17.83156409650455
US,N,-0.00036640808024502827,0.9296275174475248
US,R,0.008915370827667355,-17.819520244856623
OECD Total,F,-0.008750935822037629,18.21015158058376
OECD Total,N,-0.0024017070316869884,5.020762360570962
OECD Total,R,0.010927996005436504,-21.785894912307224
AR,F,6.965248958095089e-06,0.631394750322449
AR,N,0.001450107136929373,-2.8699710995155647
AR,R,-0.0014568174058157755,3.238063338317346
BR,F,-0.0002214425631074234,0.6131869297657361
BR,N,-0.0005787043476223364,1.1924942358590305
BR,R,0.00043574058438851224,-0.07335042815343325
CN,F,-0.013349883707274864,27.63938428923834
CN,N,0.0030578759101049097,-6.131625012487532
CN,R,0.010422052632402899,-20.77167461006368
EG,F,-0.0030068364212823212,6.963926439062343
EG,N,0.0,0.0
EG,R,0.0030068364212730955,-5.963926439043744
IN,F,-0.004328168075435676,9.516651878395887
IN,N,-0.00020983172356247508,0.4504949313782599
IN,R,0.004504146791150069,-8.899506951456202
ID,F,-0.005870920385427723,12.690389956606673
ID,N,0.0,0.0
ID,R,0.00587378848165024,-11.696213158247703
KE,F,-0.02296456011170361,46.49682809712216
KE,N,0.0,0.0
KE,R,0.02296456011169746,-45.49682809710976
MA,F,-0.007344224336858216,15.625803917169351
MA,N,0.0,0.0
MA,R,0.0051113322762387815,-10.1532906276553
SN,F,-0.00986368207283403,20.811180952723078
SN,N,0.0,0.0
SN,R,0.011979662980385698,-24.09229514158257
SG,F,-0.001351755175783613,3.6931673000454976
SG,N,0.0,0.0
SG,R,0.0015495161385178703,-3.103849778451
ZA,F,-0.006280347808682031,13.575683355356064
ZA,N,-0.00036941483572490474,0.7954520137581708
ZA,R,0.006649790859905549,-13.371192239222761
TH,F,-0.01134986131758955,23.75802675410508
TH,N,0.0,0.0
TH,R,0.011349977816960066,-22.758261214372492
UA,F,-0.01491953472693977,30.49068312097522
UA,N,0.008922462515074002,-17.480587184498507
UA,R,0.005929866710557797,-11.875163426893174
Non-OECD Total,F,-0.006845454940915723,14.516386612204146
Non-OECD Total,N,0.000800853158980686,-1.5680347948525717
Non-OECD Total,R,0.0060801897726160655,-12.021520563866964
Africa,F,-0.0054407233093298,11.761701001202649
Africa,N,-0.0005794895573568177,1.1841346299902844
Africa,R,0.00592988911275002,-11.765345796068207
