Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 Provisional
Denmark,Renewable sources,Electricity output (GWh),24,24,24,24,24,24,22,26,31,41,44,50,94,96,117,206,264,405,577,825,1057,1352,1607,1743,1852,2079,2929,3925,4379,5572,5846,6789,8078,9519,9812,9201,10305,10096,10064,12429,14181,14837,15967,17984,18937,18390,21798,20759,23073,23447,26098,28518,29359
Denmark,Total,Electricity output (GWh),18624,20574,19120,18303,18264,20509,22064,20418,22111,26765,19763,23726,22179,22672,29144,30783,29489,28070,22933,25982,36545,30738,33974,40578,36759,53582,44315,41113,38920,36053,37729,39287,46186,40430,36246,45611,39316,36616,36384,38862,35229,30701,34742,32184,28941,30538,31023,30370,29517,28729,33051,35129,33953
Estonia,Fossil fuels,Electricity output (GWh),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16267,13844,11730,8926,9166,8694,9120,9238,8541,8262,8495,8465,8497,10110,10244,10094,9602,12045,10384,8238,11920,11714,10490,11995,10984,8519,10518,11218,10279,5409,3033,4234,5986,2570
Estonia,Nuclear,Electricity output (GWh),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Renewable sources,Electricity output (GWh),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,1,1,3,8,7,11,16,16,18,18,30,49,60,111,130,145,197,541,1044,1179,1477,1220,1389,1560,1588,1859,1989,2143,2971,2879,2856,2991
Estonia,Total,Electricity output (GWh),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16267,13844,11731,8927,9169,8702,9127,9249,8557,8278,8513,8483,8527,10159,10304,10205,9732,12190,10581,8779,12964,12893,11967,13275,12446,10149,12170,13160,12364,7616,6078,7204,8937,5673
Finland,Fossil fuels,Electricity output (GWh),11054,12982,15587,15000,14019,19820,18318,22726,21631,23509,12591,11311,10898,13174,18324,17818,19961,20963,21698,19146,20278,18405,21712,27944,25274,31882,27841,23547,24957,23855,29869,32467,42102,37039,23419,36555,33080,26095,26326,33157,25609,18309,21393,17575,14194,14447,12698,14528,12123,9372,9582,7400,4167
Finland,Nuclear,Electricity output (GWh),0,0,0,0,0,0,2660,3264,6742,7022,14665,16776,17720,18867,19059,19059,19646,19554,19090,19216,19511,19260,19928,19427,19216,19476,20894,21853,22974,22479,22773,22295,22731,22716,23271,22906,23423,22958,23526,22800,23187,22987,23606,23580,23245,23203,22477,22793,23870,23291,23598,25336,34308
Finland,Renewable sources,Electricity output (GWh),10627,10323,10515,12631,12152,9435,12120,9742,10870,10216,13653,13088,13579,13246,12333,12389,13795,13361,13029,16015,18197,20060,19439,18260,19545,17761,20151,24408,21193,23379,21547,19830,19065,25631,23468,22466,24323,27781,21699,24195,24175,28560,25629,26271,30527,30412,31476,32139,31883,35928,38175,38667,41916
Finland,Total,Electricity output (GWh),21681,23305,26102,27631,26171,29255,33098,35732,39243,40747,40909,41175,42197,45287,49716,49266,53402,53878,53817,54377,57986,57725,61079,65631,64035,69373,69176,70167,69457,69976,74486,74955,84326,85845,70582,82312,81245,77432,72069,80674,73501,70411,71257,68094,68599,68757,67524,70263,68650,69268,72121,72221,81128
France,Fossil fuels,Electricity output (GWh),96951,106963,119278,115151,106242,140933,115535,126639,133398,125823,97360,98198,80867,64874,55680,43029,39498,37266,51429,47118,60342,50236,34336,33385,38145,42878,38490,53938,50765,49539,45005,51127,55730,54812,61699,55297,56347,53661,49234,55594,56812,54169,51127,33420,42373,54069,62678,46872,51101,45784,46348,58140,40182
France,Nuclear,Electricity output (GWh),9336,14592,14741,14695,18248,15778,17986,30483,39960,61251,105326,108919,144261,191234,224100,254155,265520,275521,303931,314081,331340,338445,368188,359981,377231,397340,395483,387990,394244,415162,421076,436760,441070,448241,451529,450191,439730,439447,409736,428521,442388,425406,423685,436479,437428,403195,398359,412942,399012,353833,379361,294731,338202
France,Renewable sources,Electricity output (GWh),49562,49646,48489,57001,60804,49146,76929,69023,67111,70234,72944,71351,70231,66545,62774,63389,71424,77445,47989,54628,58427,69617,65281,79193,73667,67100,64800,63446,73713,67819,76093,62687,61465,62427,54984,60913,64294,72330,68159,76684,66028,85249,99436,94039,91836,99001,92633,113503,113052,125207,122251,113538,141807
France,Total,Electricity output (GWh),155849,171201,182508,186847,185294,205857,210450,226145,240469,257308,275630,278468,295359,322653,342554,360573,376442,390232,403534,416049,450336,458538,468064,472829,489414,507785,499323,505945,519544,533601,543641,552111,559912,567197,569869,568006,562499,567597,529454,562964,567975,567859,577167,566790,574485,559210,556809,576324,566116,527754,550751,469216,522789
Germany,Fossil fuels,Electricity output (GWh),304810,320343,344101,355488,339469,374509,363778,382100,393141,386245,377310,368972,375785,375899,360002,368345,364406,365687,372644,372498,367767,350963,344460,345913,348528,358647,349005,359151,349085,361442,364835,365426,388668,383139,383711,386133,397891,385401,352440,372550,366773,371343,374945,352838,352936,361336,346079,327585,277336,244678,276447,280849,232010
Germany,Nuclear,Electricity output (GWh),6216,9522,12106,14459,24138,29533,41255,43873,52064,55589,65533,74426,78063,104317,138641,130489,141725,156820,161671,152468,147229,158804,153276,150703,153091,160016,170328,161644,170004,169606,171305,164842,165060,167065,163055,167269,140534,148495,134932,140556,107971,99460,97290,97129,91786,84634,76324,76005,75071,64382,69130,34709,7216
Germany,Renewable sources,Electricity output (GWh),16223,16016,18145,18686,18156,15099,18794,19623,19699,21921,22839,22382,21172,21119,20203,21166,22643,22441,20759,19093,16979,19735,20520,23433,25932,26551,23062,24902,28717,35475,37895,44477,46670,57957,63402,72511,89368,94283,95938,105180,124038,143044,152339,162526,188786,189672,216323,222076,240332,251481,233638,251087,267692
