page,name,url
3,NYM5 Norwalk Data Center,https://www.datacenters.com/cyrusone-nym5-norwalk
3,AMS - 1 - Amsterdam Data Center,https://www.datacenters.com/iron-mountain-ams-1-amsterdam
3,DB4 Ballycoolin Data Center,https://www.datacenters.com/equinix-db4-ballycoolin
3,DC11 Ashburn Data Center,https://www.datacenters.com/equinix-dc11-ashburn
3,Atlanta Data Center,https://www.datacenters.com/dsm-atlanta
3,Washington DC (WDC1-Ashburn) Data Center,https://www.datacenters.com/centersquare-washington-dc-wdc1-ashburn
3,Irving - Dallas DC1 & DC2 Data Center,https://www.datacenters.com/qts-irving-dallas-dc1-dc2
3,SP4 Sao Paulo,https://www.datacenters.com/equinix-sp4-sao-paulo
3,SP2 Barueri Data Center,https://www.datacenters.com/equinix-sp2-barueri
3,SY7 Sydney Data Center,https://www.datacenters.com/equinix-sy7-sydney
3,FR6 Frankfurt Data Center,https://www.datacenters.com/equinix-fr6-frankfurt
3,Amsterdam AMS17 Data Center,https://www.datacenters.com/digital-realty-amsterdam-ams17
4,Amsterdam AMS17 Data Center,https://www.datacenters.com/digital-realty-amsterdam-ams17
4,M2 Melbourne Data Center,https://www.datacenters.com/nextdc-m2-melbourne
4,CWL1 Cardiff Data Center Campus,https://www.datacenters.com/vantage-cwl1-cardiff-campus
4,IL2 Istanbul Data Center,https://www.datacenters.com/equinix-il2-istanbul
4,HK5 Hong Kong Data Center,https://www.datacenters.com/equinix-hk5-hong-kong
4,LD6 Slough Data Center,https://www.datacenters.com/equinix-ld6-slough
4,Kolkata 01 DC,https://www.datacenters.com/sify-technologies-limited-kolkata-01-dc
4,SV2 Santa Clara Data Center,https://www.datacenters.com/equinix-sv2-santa-clara
4,Suwanee Data Center 1,https://www.datacenters.com/qts-suwanee-1
4,LON3 London Data Center,https://www.datacenters.com/rackspace-lon3-london
4,Dallas DFW10 Data Center,https://www.datacenters.com/digital-realty-dallas-dfw10
4,"HK3 Tsuen Wan, N.T Data Center",https://www.datacenters.com/equinix-hk3-tsuen-wan-n-t
4,Amsterdam AMS5 Data Center,https://www.datacenters.com/digital-realty-amsterdam-ams5
4,Dallas (DA2-Webb Chapel) Data Center,https://www.datacenters.com/centersquare-dallas-da2-webb-chapel
4,Columbus - Dublin Data Center,https://www.datacenters.com/expedient-columbus-dublin
4,Amsterdam AMS7  Data Center,https://www.datacenters.com/digital-realty-amsterdam-ams7
4,JNB1 Johannesburg I Data Center Campus,https://www.datacenters.com/vantage-jnb1-johannesburg-i-campus
4,DC5 Ashburn Data Center,https://www.datacenters.com/equinix-dc5-ashburn
4,DFW3  Dallas Data Center,https://www.datacenters.com/rackspace-dfw3-dallas
4,DA11 Dallas IBX Data Center,https://www.datacenters.com/equinix-da11-dallas-ibx
4,NNJ3 New Jersey Data Center,https://www.datacenters.com/cologix-nnj3-new-jersey
