total_space,total_power
26910,2.4
260400,48
40000,5
43294,1.6
26910,2.4
15069,4
29500,.5
91400,1
64584,18
976000,50
27000,1.5
348751,30
216000,18
20000,1
26935,3
24000,3
40000,7.5
245998,54
110000,9
91980,4
91980,4
129167,30
145,16.4
484376,40
28911,2.7
97000,14
183419,8.5
44000,1.4
32291,2.88
43055.64,4
162000,4.5
14000,1.25
89000,2
58663,3.5
10000,.6
75000,10
40000,.15
150000,40
40000,4.5
58000,10
58000,10
36000,1.92
27986.17,7
176,0.096
8994,0.5
53819.55,6
92000,12
113580,10.08
68000.0,4.0
12916.69,1.6
1000000,17.5
6800,1
120000,6.3
30000,1.0
22000,2
180000,13.75
15000,0.9
16850,3
62000,3
305000,30.6
35000,4
8094,.7
30000,6.1
348751,30
976000,50
25000,10
37674,1.6
43055.64,6
20000,0.5
131223,3.4
102537,18
120000.0,13.0
51000,9.6
31000,5
213000,17
600000,4
9700,.828
3121.53,1
1800000,6.75
9542,.570
54000,2.14
54000,6
196000,20.4
42400,9
26950,1.5
22539,.49
45000,80
250000,21
80000,1.7
38900,1.1
150000,25
292000,26
115000,4.5
117374,25
9687,1900
80000,10
6458,1100
455000.0,120.0
264000,48
10000,2.5
16000,7.2
12600,6
500000,8
17000,10
77500,4.1
52000,9.6
6700,1.5
54000,2.1
9800,2
6000,11
20000,2
29601,9.6
16279,1.5
20000,2
12917,3
6000,4
360,0.1
29601,9.6
5000,0.015
260400,48
43000,10
200000,100
1133739,100
31000,2
372000,36
20000,1.0
44250,2.75
70000,9
44250,2.75
211000,33
556457,47
21000,0.35
86000,14
110000,3.0
65000,11
35380,1.25
7800,1.5
115500,21.6
26000,109
60000,20
54000,9.6
7800,1.5
47000,4.5
4000,.25
197100,6
84000,20.0
16700,1.5
50000,4
446000,34.5
42194,6.8
18000,1.6
150000,28.4
85000,6.3
5000,5
8000,1.0
30250,.75
15000,1.5
32738,2.5
138000,18
19200,17
68000,11.1
226000,31
10700,2.1
132000,20
96100,7
